epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
81,0.0257,0.0094,0.0179,0.0014,1.2237,0.5018,0.5081,3
82,0.0263,0.0092,0.0187,0.0019,1.2479,0.4672,0.4761,3
83,0.0264,0.0094,0.0186,0.0018,1.2804,0.4974,0.4962,3
84,0.0265,0.0094,0.0186,0.0017,1.3628,0.4493,0.4696,3
85,0.0260,0.0094,0.0181,0.0016,1.3213,0.4745,0.4800,3
86,0.0267,0.0095,0.0188,0.0020,1.2847,0.4556,0.4655,3
87,0.0283,0.0100,0.0198,0.0021,1.4668,0.4000,0.4118,3
88,0.0264,0.0095,0.0184,0.0021,1.2742,0.5097,0.5106,3
89,0.0262,0.0093,0.0182,0.0017,1.4011,0.4223,0.4447,3
90,0.0259,0.0093,0.0180,0.0018,1.3931,0.4666,0.4573,3
91,0.0256,0.0092,0.0178,0.0017,1.3758,0.4400,0.4646,3
92,0.0256,0.0092,0.0178,0.0015,1.3882,0.5093,0.4847,3
93,0.0261,0.0090,0.0185,0.0017,1.3523,0.4456,0.4557,3
94,0.0254,0.0090,0.0177,0.0014,1.3604,0.4682,0.4820,3
95,0.0257,0.0091,0.0179,0.0016,1.3980,0.4223,0.4604,3
96,0.0258,0.0090,0.0180,0.0016,1.4642,0.4225,0.4251,3
97,0.0254,0.0091,0.0175,0.0015,1.4943,0.3927,0.3916,3
98,0.0260,0.0093,0.0178,0.0016,1.6293,0.3675,0.3648,3
99,0.0256,0.0089,0.0178,0.0015,1.5423,0.3999,0.4053,3
100,0.0262,0.0093,0.0181,0.0018,1.5757,0.3942,0.4233,3
101,0.0255,0.0090,0.0177,0.0014,1.4391,0.4559,0.4645,3
102,0.0262,0.0089,0.0184,0.0023,1.6032,0.3650,0.3666,3
103,0.0263,0.0091,0.0182,0.0017,1.6615,0.3491,0.3678,3
104,0.0258,0.0088,0.0179,0.0017,1.7298,0.3427,0.3502,3
105,0.0260,0.0092,0.0178,0.0014,1.7920,0.3169,0.3307,3
106,0.0260,0.0091,0.0179,0.0017,1.7853,0.3531,0.3533,3
107,0.0260,0.0089,0.0180,0.0015,1.7494,0.3392,0.3757,3
108,0.0254,0.0089,0.0175,0.0015,1.7184,0.4245,0.4005,3
109,0.0257,0.0090,0.0177,0.0017,1.6660,0.3664,0.4183,3
110,0.0261,0.0091,0.0180,0.0014,1.7706,0.3190,0.3215,3
111,0.0261,0.0090,0.0179,0.0014,1.8355,0.2692,0.3029,3
112,0.0265,0.0090,0.0181,0.0015,2.0464,0.2894,0.2864,3
113,0.0268,0.0095,0.0181,0.0018,2.0542,0.2614,0.2642,3
114,0.0267,0.0091,0.0183,0.0016,2.0157,0.2869,0.3120,3
115,0.0265,0.0093,0.0180,0.0016,2.0129,0.3141,0.3008,3
116,0.0261,0.0090,0.0179,0.0015,1.9367,0.2869,0.3241,3
117,0.0260,0.0090,0.0177,0.0014,2.0539,0.2910,0.2986,3
118,0.0262,0.0091,0.0177,0.0016,2.1285,0.2582,0.2661,3
119,0.0266,0.0093,0.0179,0.0015,2.1940,0.2548,0.2544,3
120,0.0265,0.0091,0.0180,0.0016,2.1017,0.2771,0.3141,3
121,0.0259,0.0093,0.0175,0.0019,1.9325,0.3931,0.3144,3
122,0.0263,0.0089,0.0180,0.0020,2.0463,0.2555,0.2936,3
123,0.0263,0.0090,0.0178,0.0018,2.1989,0.2400,0.2563,3
124,0.0265,0.0094,0.0177,0.0016,2.2521,0.2158,0.2370,3
125,0.0273,0.0093,0.0183,0.0017,2.4761,0.2084,0.2269,3
126,0.0267,0.0093,0.0180,0.0016,2.2043,0.2694,0.2635,3
127,0.0262,0.0094,0.0174,0.0014,2.2003,0.2760,0.2843,3
128,0.0262,0.0091,0.0175,0.0015,2.3019,0.2148,0.2204,3
129,0.0270,0.0096,0.0178,0.0015,2.5314,0.1794,0.2013,3
130,0.0271,0.0094,0.0178,0.0016,2.7334,0.1686,0.1646,3
131,0.0267,0.0095,0.0177,0.0016,2.2541,0.3123,0.3095,3
132,0.0259,0.0092,0.0174,0.0016,2.0385,0.3269,0.3682,3
133,0.0252,0.0088,0.0173,0.0015,1.8467,0.4477,0.4188,3
134,0.0253,0.0087,0.0174,0.0020,1.8307,0.3556,0.3933,3
135,0.0263,0.0091,0.0178,0.0015,2.1523,0.2657,0.2426,3
136,0.0260,0.0093,0.0173,0.0014,2.1783,0.2667,0.2487,3
137,0.0261,0.0093,0.0173,0.0012,2.2691,0.2049,0.2250,3
138,0.0261,0.0092,0.0172,0.0014,2.4992,0.1671,0.2018,3
139,0.0266,0.0094,0.0175,0.0013,2.5294,0.2577,0.1939,3
140,0.0260,0.0093,0.0174,0.0017,2.1093,0.3067,0.3135,3
141,0.0255,0.0090,0.0169,0.0012,2.2564,0.2394,0.2641,3
142,0.0270,0.0091,0.0180,0.0015,2.5744,0.1941,0.2091,3
143,0.0276,0.0097,0.0180,0.0014,2.8286,0.1496,0.1606,3
144,0.0275,0.0097,0.0178,0.0014,2.9147,0.1585,0.1745,3
145,0.0263,0.0091,0.0175,0.0013,2.4331,0.2604,0.2334,3
146,0.0266,0.0095,0.0173,0.0015,2.7191,0.1528,0.1521,3
147,0.0270,0.0094,0.0178,0.0013,2.6663,0.1716,0.1593,3
148,0.0274,0.0100,0.0178,0.0015,2.5783,0.2327,0.2998,3
149,0.0249,0.0090,0.0168,0.0013,1.8721,0.4219,0.4049,3
150,0.0257,0.0090,0.0171,0.0014,2.3243,0.2631,0.2540,3
151,0.0267,0.0091,0.0176,0.0014,2.6928,0.1528,0.1606,3
152,0.0275,0.0095,0.0177,0.0014,3.2294,0.1096,0.1292,3
